country,date,total_cases,total_deaths,new_cases,new_deaths
Russia,2020-09-20,1085543,19050,38986,809
Russia,2020-09-27,1129648,19927,44105,877
Russia,2020-10-04,1186148,20889,56500,962
Russia,2020-10-11,1261166,22052,75018,1163
Russia,2020-10-18,1355134,23470,93968,1418
Russia,2020-10-25,1464183,25227,109049,1757
Russia,2020-11-01,1582791,27282,118608,2055
Russia,2020-11-08,1713806,29528,131015,2246
Russia,2020-11-15,1859771,32006,145965,2478
Russia,2020-11-22,2017317,34846,157546,2840
Russia,2020-11-29,2190186,38046,172869,3200
Russia,2020-12-06,2376586,41574,186400,3528
Russia,2020-12-13,2570247,45291,193661,3717
Russia,2020-12-20,2763621,49148,193374,3857
Russia,2020-12-27,2963798,53069,200177,3921
