date,State,total_cases,total_deaths,new_cases,new_deaths
2020-08-23,ID,28884,289,2396.0,39.0
2020-08-30,ID,31002,334,2118.0,45.0
2020-09-06,ID,32863,369,1861.0,35.0
2020-09-13,ID,34544,397,1681.0,28.0
2020-09-20,ID,36499,427,1955.0,30.0
2020-09-27,ID,39201,448,2702.0,21.0
2020-10-04,ID,42421,463,3220.0,15.0
2020-10-11,ID,46344,495,3923.0,32.0
2020-10-18,ID,50732,514,4388.0,19.0
2020-10-25,ID,56516,542,5784.0,28.0
2020-11-01,ID,62572,598,6056.0,56.0
2020-11-08,ID,69538,654,6966.0,56.0
2020-11-15,ID,78107,729,8569.0,75.0
2020-11-22,ID,87853,810,9746.0,81.0
2020-11-29,ID,96812,884,8959.0,74.0
2020-12-06,ID,106252,986,9440.0,102.0
2020-12-13,ID,117322,1110,11070.0,124.0
2020-12-20,ID,126498,1237,9176.0,127.0
2020-12-27,ID,133226,1318,6728.0,81.0
2020-07-05,TX,175270,3468,40704.0,623.0
2020-07-12,TX,230089,4562,54819.0,1094.0
2020-07-19,TX,294859,6130,64770.0,1568.0
2020-07-26,TX,359067,7871,64208.0,1741.0
2020-08-02,TX,411852,9594,52785.0,1723.0
2020-08-09,TX,466030,11080,54178.0,1486.0
2020-08-16,TX,513657,12423,47627.0,1343.0
2020-08-23,TX,561510,13483,47853.0,1060.0
2020-08-30,TX,596416,14288,34906.0,805.0
2020-09-06,TX,625872,14970,29456.0,682.0
2020-09-13,TX,649627,15525,23755.0,555.0
2020-09-20,TX,677407,16005,27780.0,480.0
2020-09-27,TX,722079,16477,44672.0,472.0
2020-10-04,TX,752598,16873,30519.0,396.0
2020-10-11,TX,781387,17317,28789.0,444.0
2020-10-18,TX,809930,17781,28543.0,464.0
2020-10-25,TX,845328,18363,35398.0,582.0
2020-11-01,TX,896271,19115,50943.0,752.0
2020-11-08,TX,1007325,20015,111054.0,900.0
2020-11-15,TX,1075335,21009,68010.0,994.0
2020-11-22,TX,1155390,22158,80055.0,1149.0
2020-11-29,TX,1241127,23391,85737.0,1233.0
2020-12-06,TX,1330734,24701,89607.0,1310.0
2020-12-13,TX,1432229,26162,101495.0,1461.0
2020-12-20,TX,1536002,27713,103773.0,1551.0
2020-12-27,TX,1640174,29350,104172.0,1637.0
