ID,MD,NC,NV,OH,TX
5,52,12,16,24,11
5,53,13,18,25,15
6,55,14,20,26,21
7,56,16,22,27,27
9,57,17,25,29,33
12,58,19,29,30,38
13,59,21,33,31,42
16,60,23,36,33,46
18,61,24,40,34,49
20,62,26,43,35,51
22,62,28,46,37,53
23,63,29,48,38,55
25,64,31,50,40,56
25,65,33,52,41,58
27,65,35,53,42,59
28,66,36,54,42,61
30,67,38,56,43,63
33,67,39,57,44,65
36,68,42,59,46,69
40,70,44,60,48,72
45,71,46,63,49,76
49,74,48,67,53,80
55,77,51,71,57,85
62,81,54,78,62,90
69,86,57,85,66,95
73,91,59,92,71,101
