date,State,total_cases,total_deaths,new_cases,new_deaths,norm_pop
2020-07-05,NV,648.66844406582,16.849795919427457,150.51185719164874,0.7467154261017949,30.80156
2020-07-12,NV,818.1079140147448,18.375692659722432,169.43946994892468,1.5258967402949721,30.80156
2020-07-19,NV,1039.1681460289674,20.25871416902261,221.06023201422266,1.8830215093001783,30.80156
2020-07-26,NV,1291.038505841912,22.693655775876287,251.87035981294454,2.434941606853679,30.80156
2020-08-02,NV,1524.1435823380375,25.58311981600932,233.10507649612552,2.8894640401330323,30.80156
2020-08-09,NV,1743.223395178686,29.25176517033553,219.07981284064834,3.6686453543262094,30.80156
2020-08-16,NV,1914.6432843011848,33.08273996511865,171.419889122499,3.8309747947831214,30.80156
2020-08-23,NV,2071.5833873349275,36.94618064799315,156.94010303374245,3.863440682874504,30.80156
2020-08-30,NV,2186.3178358498726,40.874553107050424,114.73444851494536,3.9283724590572686,30.80156
2020-09-06,NV,2278.813151022221,43.69908537100069,92.49531517234841,2.8245322639502675,30.80156
2020-09-13,NV,2355.8547034630715,46.166492865945756,77.0415524408504,2.4674074949450615,30.80156
2020-09-20,NV,2424.5525226644368,48.73129802516496,68.69781920136514,2.5648051592192087,30.80156
2020-09-27,NV,2505.327652235796,50.54938775828238,80.77512957135937,1.8180897331174137,30.80156
2020-10-04,NV,2614.4779679990233,52.075284498577346,109.15031576322758,1.5258967402949721,30.80156
2020-10-11,NV,2723.3360907694287,53.30898824604988,108.85812277040515,1.2337037474725308,30.80156
2020-10-18,NV,2853.6216996801463,54.83488498634485,130.2856089107175,1.5258967402949721,30.80156
2020-10-25,NV,3019.1327971700134,56.19845228618291,165.5110974898674,1.3635672998380601,30.80156
2020-11-01,NV,3200.909304593664,57.30229248128991,181.77650742364997,1.1038401951070012,30.80156
2020-11-08,NV,3428.7224413308936,59.08791632631594,227.8131367372302,1.7856238450260313,30.80156
2020-11-15,NV,3735.654947346823,60.97093783561612,306.93250601592905,1.8830215093001783,30.80156
2020-11-22,NV,4113.395555290057,63.60067477101809,377.74060794323407,2.629736935401973,30.80156
2020-11-29,NV,4620.99971559882,67.23685423725293,507.6041603087636,3.6361794662348275,30.80156
2020-12-06,NV,5129.350591333686,71.94440801050337,508.3508757348654,4.707553773250446,30.80156
2020-12-13,NV,5709.288750310049,78.1453926359574,579.9381589763635,6.200984625454036,30.80156
2020-12-20,NV,6262.37761983484,85.54761512079259,553.0888695247903,7.402222484835184,30.80156
2020-12-27,NV,6732.840804167062,92.36545161998289,470.46318433222217,6.817836499190301,30.80156
2020-07-05,MD,1131.8991412049595,52.56646067936113,44.67652935649919,1.273636712495534,60.4568
2020-07-12,MD,1181.47172857313,53.955882547538074,49.57258736817033,1.3894218681769461,60.4568
2020-07-19,MD,1264.2415741488137,55.246059996559524,82.76984557568379,1.29017744902145,60.4568
2020-07-26,MD,1345.8370274311574,56.22196345158857,81.59545328234375,0.9759034550290455,60.4568
2020-08-02,MD,1445.627290892009,57.26402985272128,99.79026346085138,1.0420664011327097,60.4568
2020-08-09,MD,1541.2327480118036,58.38879993648357,95.60545711979462,1.1247700837622898,60.4568
2020-08-16,MD,1624.23416389885,59.563192229823606,83.00141588704662,1.174392293340038,60.4568
2020-08-23,MD,1692.5143242778315,60.37368831959349,68.28016037898135,0.8104960897698853,60.4568
2020-08-30,MD,1755.5510711780973,61.33305103809662,63.036746900265975,0.9593627185031295,60.4568
2020-09-06,MD,1821.6478543356577,62.20971007397017,66.09678315756044,0.8766590358735493,60.4568
2020-09-13,MD,1890.5069404930462,62.97058395416231,68.85908615738842,0.7608738801921372,60.4568
2020-09-20,MD,1959.3825673869605,63.59913194214712,68.87562689391433,0.6285479879848089,60.4568
2020-09-27,MD,2016.1834566169562,64.37654655886517,56.80088922999563,0.7774146167180532,60.4568
2020-10-04,MD,2076.325574625187,65.08779822947956,60.14211800823067,0.7112516706143891,60.4568
2020-10-11,MD,2141.5456987468738,65.58402032525704,65.2201241216869,0.4962220957774808,60.4568
2020-10-18,MD,2211.0498736287727,66.32835346892327,69.50417488189915,0.7443331436662212,60.4568
2020-10-25,MD,2283.7794921332256,67.00652366648582,72.72961850445276,0.678170197562557,60.4568
2020-11-01,MD,2372.553625067817,67.9162641754112,88.77413293459131,0.9097405089253814,60.4568
2020-11-08,MD,2485.444151857194,68.84254542086249,112.89052678937688,0.9262812454512974,60.4568
2020-11-15,MD,2651.529687313917,70.01693771420254,166.08553545672282,1.174392293340038,60.4568
2020-11-22,MD,2890.162893173307,71.88604094163105,238.6332058593905,1.8691032274285109,60.4568
2020-11-29,MD,3146.478146378902,74.35061068399254,256.31525320559473,2.464569742361488,60.4568
2020-12-06,MD,3414.0080189490677,77.7249209352794,267.5298725701658,3.3743102512868695,60.4568
2020-12-13,MD,3735.4937740667715,81.90972727633616,321.4857551177039,4.184806341056754,60.4568
2020-12-20,MD,4036.237445580977,86.83886676105914,300.7436715142052,4.929139484722976,60.4568
